item_id,name,material,product_type,mass_kg,bbox_vol,fill,hull_fill,true_vol,faces,mb
B0764TFM7L,"AmazonBasics Faux Linen Upholstered Tufted Headboard - Queen, Beige",polyester faux-linen upholstery,HEADBOARD,8.799691978,0.0797517437219999,0.6986641958408002,0.7496201814285032,0.05571968789443265,10804,1.757956
B07HZ73SBZ,"Amazon Brand – Stone & Beam Fischer Sleeper Chair, 51""W, Chestnut Leather",leather,CHAIR,92.07925111,1.6698090474719998,0.6257190926649039,0.7936963769000085,1.044831402107827,69426,5.109408
B071W5V76G,"Amazon Brand – Stone & Beam Bryant Modern Loveseat Sofa Couch with Slipcover, 69.3""W, Storm Grey",hardwood in blend of cotton/linen/viscose/polyester,HOME_FURNITURE_AND_DECOR,47.58183961300001,1.5324103983988795,0.7698652916367493,0.8494750861536787,1.1797495782705405,13394,3.632884
B07DBKNWZT,"Amazon Brand – Ravenna Home Sage Diamond Tufted Ottoman, 36""W, Charcoal Grey",wood frame; polyester,OTTOMAN,13.7710643532,0.3610397940479999,0.6838500400977995,0.9084465080018529,0.246897077636626,187322,8.4992
B07DBDPM9W,"Amazon Brand – Ravenna Home Waterloo Modern Slipcover Sofa, 71""W, Beige",polyester,FURNITURE_COVER,38.999871972600005,1.3154613206849997,0.5912424013455507,0.777886451679619,0.7777565101189888,12390,2.577008
B075X3SJ2T,"Amazon Brand – Stone & Beam Marin Studded Loveseat, 60""W, Beige",stone,HOME_FURNITURE_AND_DECOR,45.359237,1.49155056528,0.5357697424424439,0.7589516111045498,0.7991276621999472,53100,3.995092
B075X2LLTD,"Niet Geo Diamond Black Moderne Tischlampe aus Keramik mit LED-Leuchtmittel 22.75"" schwarz",,LAMP,1.133980925,0.0451094904259999,0.24513943436814842,0.6258479754125622,0.011058114967665022,8301,3.515424
B07DBB1SD2,"Amazon Brand – Ravenna Home Rustic Small TV Media Entertainment Console Table Stand, 42""W, Espresso",,TABLE,22.6796185,0.2168008567199999,0.31818628780338193,0.9242799339887455,0.06898305979232966,30250,3.878216
B073NZPPSX,"Amazon Brand – Rivet Puppy Eyed Dog in Burgundy Collar Print Wall Art in Black Frame, 12.5"" x 12.5""",wood,ANIMAL_COLLAR,1.3562411863,0.0032005984375,0.9999898584700225,0.9999898584700225,0.0032005659785350003,762,0.545648
B072C8Q4SG,"Amazon Brand – Stone & Beam Lummi Modern Armless Slipper Accent Chair, 21.6""W, Chianti",polyester,CHAIR,11.657323909,0.3476800926384239,0.3433301706666799,0.6441507277149939,0.11936906554295718,25028,3.186672
B07HZ9KB5B,"Amazon Brand – Stone & Beam Clayton Reclining Contemporary Leather Living-Room Chair, 30""W, Oatmeal",leather,CHAIR,34.47302012,0.960691627,0.348798375870771,0.7635350194539485,0.3350876792102485,35113,5.0196
B07HZ7634C,"Amazon Brand – Stone & Beam Blaine Modern Loveseat Sofa, 55.""W, Beige",polyester,SOFA,39.91612856,1.2119167890647995,0.5871217443225166,0.8223263443120253,0.7115426991694686,25310,4.042736
B075HX9TCW,"Amazon Brand – Rivet Triangle Wall Mount Vase, 7""H, Modern Earthenware, Aqua",ceramic,PLANTER,0.1905087954,0.0012847458175999,0.19510153442923595,0.21051239482274203,0.0002506558803652838,7228,0.482796
B07HSCYS4C,"Amazon Brand – Rivet Modern 3-Drawer Desk, 51.9""W, White",,DESK,36.105952652,0.6098003416872,0.33249222655796434,0.9789060487921265,0.20275387336338457,4234,0.709032
B07HZ6X84B,"Amazon Brand – Stone & Beam Clayton Reclining Contemporary Leather Living-Room Chair, 30""W, Gray",leather,CHAIR,102.05828325,1.4249371501199997,0.348798375870771,0.7635350194539485,0.4970157636797809,35113,5.011084
B07DTF76PJ,"Amazon Brand – Rivet Mid Century Modern 3 Light Living Room Standing Floor Lamp with Integrated LED Light - 67.5 Inches, Antique Brass Finish",,LAMP,6.0962814528,0.0343308368091567,0.04533408674756207,0.36698431168143186,0.001556357134022707,7636,4.127892
B073P15S9V,"Amazon Brand – Stone & Beam Contemporary Gold and Grey Hay Bales Print Wall Art on Canvas, 30"" x 30""",canvas,WALL_ART,1.36077711,0.0221225364,0.8185419349079978,0.9517422041863017,0.018108223749928612,19524,2.348388
B07DBHPK22,"Amazon Brand – Ravenna Home Galer Tufted Nailhead Lift Top Storage Bedroom and Entryway Bench, 15.75""W, Charcoal Grey",wood frame; polyester,BENCH,11.3760966396,0.1981534020794999,0.5814531970160299,0.9250396082113882,0.11521692913872805,29919,3.344512
B00WRDS0AU,AmazonBasics Laptop Desk Stand for PC and Macbook - Silver,metal,PORTABLE_ELECTRONIC_DEVICE_STAND,2.0003423517,0.0093823279527259,0.14332520960896622,0.8444705339163721,0.0013447241204445025,38362,3.956888
B07HZ65PW3,"Amazon Brand – Rivet Goodwin Modern Loveseat, 61.8""W, Light-Gray Fabric",polyester,SOFA,36.922418918000005,1.3124453307169917,0.5395648745052638,0.7682554282268205,0.708149400163333,48570,4.696804
B07B4GVQXP,"Amazon Brand – Stone & Beam Andover Slipcover Sofa Couch, 90""W, Stone Fabric",,HOME_FURNITURE_AND_DECOR,66.67807839000001,2.5618388763119997,0.8473887416214986,0.8985065708077286,2.170873421635059,56844,4.255532
B075X4PT6K,"Amazon Brand – Stone & Beam Marin Studded Chair, 33""W, Charcoal",stone,HOME_FURNITURE_AND_DECOR,36.2873896,0.8203528109039998,0.507894353290955,0.7292920752876442,0.4166525603645041,100784,5.880636
B07DB92GM8,"Amazon Brand – Ravenna Home Darian Oversized Pillow Sofa, 92""W, Brown",polyester,PILLOW,58.513415730000006,2.0081363708159996,0.66931816015664,0.7937859697737201,1.3440821410581971,43480,3.247264
B07JQTGKS7,"Amazon Brand – Stone & Beam Nevaeh Contemporary Swivel Chair, Fabric, 31""W, Stone",nylon blend,CHAIR,32.658650640000005,0.633982732032,0.5447480791935659,0.689634494117953,0.3453608755163212,25216,3.760324
B07B4M6B3B,"Amazon Brand – Stone & Beam Alderman Mid-Century Modern Accent Chair, 29.9""W, Dark Brown Leather",stone,CHAIR,18.960161066,0.6207960616311999,0.32182821501711195,0.7311231076355359,0.1997896884044221,17732,2.376752
B073WGQBPY,"Amazon Brand – Stone & Beam Vintage-Look Rectangular Barn Farmhouse Frame White Window Wood Mirror, 32.75 Inch Height, White",iron,HOME_MIRROR,5.080234544,0.012242929143125,0.6887327209767462,0.625496321809539,0.008432105901469984,29970,2.541588
B075HWTLKD,"Amazon Brand – Rivet Abstract Gold Ribbon Print on Canvas Wall Art Decor, 30"" x 30""",canvas,WALL_ART,1.81436948,0.0221225364,0.9798040587903614,0.9769073541889528,0.02167575095545751,3396,2.648452
B077PR596W,"Amazon Brand - Movian Constance - 3-Door Shoe Cabinet/Cupboard/Organizer, 75 x 25 x 128cm, Black & White New York Print",wood,CLOTHES_RACK,25.49999997861594,0.2399999992655999,0.9852095235662528,0.9717808928858823,0.2364502849323627,2262,2.00808
B07BWKH16R,"Amazon Brand – Stone & Beam Bradbury Chesterfield Tufted Leather Sofa Couch, 92.9""W, Black",stone,SOFA,67.58526313,1.892548166509,0.6239138101473057,0.8424698199591099,1.1807869374539277,46260,3.419572
B01LONQBDG,Amazon Basics USB Type-C to Micro-B 2.0 Cable - 15.2 cm - White,,ELECTRONIC_CABLE,0.00997903214,0.0001470558736295,0.3416056802585162,0.6726371640691992,5.023512174721574e-05,7890,10.132816
B075YMW6VR,"Amazon Brand – Stone & Beam Parson Wood Trestle Dining Table, 78""-96""L, Oak Finish",oak,TABLE,96.16158244,1.5338291904,0.21900933226902336,0.7901958249074021,0.3359229068042407,2028,1.822164
B07HZ6YWZY,"Amazon Brand – Stone & Beam Blaine Modern Ottoman, 36.2""W, Navy Blue",,OTTOMAN,11.974838568,0.273565515319488,0.759442722703531,0.8962461152112676,0.20775733979202646,18500,1.511992
B073WRLNS9,"AmazonBasics Foldable, 14"" Metal Platform Bed Frame with Tool-Free Assembly, No Box Spring Needed - Queen",steel,BED_FRAME,20.683812072,1.1012107007999998,0.6076241676055637,0.9493790068614752,0.6691222354319394,74836,7.149664
B07DBDRN8S,"Amazon Brand – Ravenna Home Rai Tufted Arched Armless Loveseat Bench Settee, 52""W, Light Grey",wood,SOFA,25.8048699293,1.240697389568,0.35019686413534523,0.6408369198644724,0.4344883351676224,16850,3.122152
B07B4L9P6Y,"Amazon Brand – Stone & Beam Appleton Farmhouse Leather Recliner, 35""W, Charcoal",leather,CHAIR,44.905644630000005,1.178164353344,0.4071991719802133,0.6056217572992281,0.47974754913828027,31690,3.26302
B075QDV39J,"Amazon Brand – Stone & Beam Barrett French Country Metal Twin Daybed Frame, 91"" L, Antiqued White",metal,BED,35.83379723,2.0027122526319996,0.34698009617407854,0.9384792892717456,0.6949012900272568,56912,3.058904
B075HWX46K,"Amazon Brand – Stone & Beam Modern Farmhouse Triangle Pattern Stoneware Home Decor Flower Vase - 9 x 6.6 Inches, Ecru White",灰石色,VASE,1.179340162,0.0064829208018744,0.4234280393781017,0.4844594106036862,0.002745050444581188,4100,1.445308
B075X2XZDD,"Iluminación moderna Stone & Beam, Lámpara de pie, Cepillado inoxidable",,LAMP,3.62873896,0.115627123584,0.05847847599868102,0.39648759419975804,0.006761697971303468,9530,1.140924
B073NZS56X,"Amazon Brand – Rivet Blue Ocean Waves Print on Canvas, 24"" x 16""",canvas,WALL_ART,0.90718474,0.0094389488639999,0.6585082929218542,0.9569090344270659,0.006215626103409249,13274,2.384276
B074VKWJWP,"Amazon Brand – Stone & Beam Striated Velvet Linen-Look Decorative Throw Pillow, 17"" x 17"", Vanilla",velvet/linen/plush,PILLOW,0.45359237,0.0142075844879999,0.5825575419161853,0.5403099962385202,0.008276735495895745,32768,2.594636
B07B7HVRTJ,"Amazon Brand – Stone & Beam Alicia Contemporary Wood Office Chair, 32""H, Black",wood,CHAIR,15.966451424000002,0.3926915649882025,0.11799892461921163,0.5262083134146947,0.04633718237564315,26656,2.84628
B07DB8XJZH,"Amazon Brand – Ravenna Home Justin Round Tufted Storage Pouf Ottoman Bench, 24""W, Beige",polyester; sturdy wooden frame,OTTOMAN,9.52543977,0.1699010795519999,0.8175037324743741,0.7592362597360361,0.1388947666851855,33178,4.636252
B072Y5MZQH,"AmazonBasics Classic Leather Office Desk Guest Chair with Metal Frame, Black",bonded leather and metal frame,CHAIR,11.1991956153,0.3793558121255679,0.1768860919738334,0.6785836636458713,0.06710276707445147,32370,6.455144
B07G2FP3M3,ROSSINI MILAZZO 2 SEATER MAXI,,SOFA,57.999999951361744,1.6105319950717716,0.5599256987496247,0.7731686299858452,0.9017782526991889,33472,3.37118
B0732FVYR7,"Amazon Brand – Rivet Abstract Reflections Modern Wool Area Rug, 8 x 10 Foot, Grey",wool,RUG,10.88621688,0.0188778977279999,0.9923593156685848,0.9923593156685848,0.018733657670619516,4992,3.304044
B07B8XC5QS,"Amazon Brand – Stone & Beam Farmhouse Decor Wall Clock and Mail Storage Organizer - 38 Inch, Wood with Black Detail",hardwood,CLOCK,2.540117272,0.011091993945,0.9994268661325273,0.9994268661325273,0.011085636747612319,1497,2.6307
B075X4F3WY,"Amazon Brand – Rivet Lawson Mid-Century Modern Angled Leather Arm Chair, 33""W, Saddle Brown",leather,CHAIR,26.76194983,0.6251337174719999,0.5441743608319419,0.7484765971456906,0.3401817411398213,23617,3.088652
B07B4SCB53,"Amazon Brand – Stone & Beam Katama Slipcover Queen Size Headboard, 66""W, Curious Charcoal",stone,HOME_FURNITURE_AND_DECOR,32.658650640000005,0.2249616145919999,0.5979554447066345,0.7183324270060092,0.1345170222952818,18240,1.968492
B07B51K5BK,"Amazon Brand – Stone & Beam Bridgewater Scalloped King Headboard, 88""W, Curious Pearl",stone,HEADBOARD,41.276905670000005,0.3677257161599999,0.5970097547334389,0.724540070523766,0.2195358396138597,21010,3.117808
B07J2JGXD7,"Amazon Brand – Rivet Abel Modern Contemporary Sofa, 81""W, Navy",wood,SOFA,31.29787353,1.5049879577599998,0.5127404139603787,0.7828516612762259,0.7716681484672473,57632,5.060936
B07BW8QTXH,"Amazon Brand – Rivet Edgewest Modern Left-Facing U-Shape Sectional, Leather, 117""W, Saddle",wood,SOFA,53.97749203,1.4535981250559995,0.4630799605957604,0.821978038968757,0.6731321624730034,105024,5.307288
B07B4YHYR2,"Rivet Mid-Century Modern Task Lamp, 67""H, with Bulb, Matte Black & Brushed Steel Accents",glass/metal+plastic,LAMP,5.511147295500001,0.1921383254,0.09089230080557963,0.4978016430062485,0.01746389446853714,27144,1.175164
