uuid,franka_rate,franka_n,category,scale,robotiq_rate,robotiq_n,gap,best,oracle_rate
96f87b33e0884fd599ef1a1c83ec5f8c,0.843,2000,bullet_train,0.012528724376293723,0.259,2000,0.584,franka,0.843
d15b3e6d7ca548c3b3705d29db16a412,0.709,2000,race_car,0.010714765792780058,0.5445,2000,0.16449999999999998,franka,0.709
455a5ed487e7450b8a52f39897193ddf,0.9015,2000,tennis_racket,0.05951354576889741,0.481,2000,0.4205,franka,0.9015
1f06ed1e3ea6420fa2032a87f4cb30ee,0.6245,2000,trunk,0.055710299170102756,0.52,2000,0.10450000000000004,franka,0.6245
8907f8c7c21842b7bf059b077ff99a35,0.342,2000,race_car,0.09129343051162031,0.403,2000,-0.061,robotiq,0.403
23447a79169f49a196ac6a71158d4c4e,0.3745,2000,elevator_car,0.0001322276687895184,0.7945,2000,-0.42,robotiq,0.7945
fe533dcb116d4d35bf55fcf5c0bfb008,0.559,2000,ambulance,0.015037394015048822,0.647,2000,-0.08799999999999997,robotiq,0.647
55bffef8dc834b98b40296b935e903d5,0.8345,2000,box,0.03364252021139515,0.6525,2000,0.18200000000000005,franka,0.8345
6d193c12639849d9a096f4c35ad50209,0.847,2000,signboard,0.40686571421406076,0.3925,2000,0.45449999999999996,franka,0.847
a1e36c54df3d4bc49c0a08f5f00618fd,0.6365,2000,avocado,0.7709458567964934,0.2835,2000,0.353,franka,0.6365
e37ba665f10e4c42ac07b682f1a21436,0.637,2000,seashell,0.0016593963977109439,0.9615,2000,-0.3245,robotiq,0.9615
640b33ee7d784da68c25208c843b5419,0.8315,2000,wet_suit,0.14075570494867226,0.489,2000,0.3425,franka,0.8315
8d15db8f8b654522b91b083c231ad710,0.7655,2000,shredder_(for_paper),0.06638674806447148,0.5435,2000,0.22199999999999998,franka,0.7655
54fe5d415ab745aa9428ed99d65ea537,0.905,2000,wooden_spoon,0.0011335369101706182,0.3995,2000,0.5055000000000001,franka,0.905
c4a0c2e2fb624bc0af9928b0ae6407ff,0.033,2000,teddy_bear,0.0009353386725606159,0.1545,2000,-0.1215,robotiq,0.1545
fa5718c649064d9195b3005ca4eefeff,0.9005,2000,bowler_hat,0.0616278450316477,0.5535,2000,0.347,franka,0.9005
325ca51ea1254529af04305919a580ef,0.0,2000,mushroom,0.07790943838623489,0.483,2000,-0.483,robotiq,0.483
16c3444c8d1440fc97fdf10f60ec58b0,0.24,2000,cub_(animal),0.11563511526557194,0.3255,2000,-0.08550000000000002,robotiq,0.3255
ca1155ccdfa04b1f965ad50b6f67a7a9,0.8765,2000,garden_hose,0.02509577653018808,0.343,2000,0.5334999999999999,franka,0.8765
2c51399de3d3439383dcabef349d72b0,0.608,2000,ottoman,0.3021187638529728,0.5375,2000,0.07050000000000001,franka,0.608
4c37518849f7447792dfd272ec7ec340,0.217,2000,rodent,0.012603602323209442,0.4945,2000,-0.27749999999999997,robotiq,0.4945
0bd9a8dfb526499cb75ccb67b6a7f738,0.9915,2000,penny_(coin),0.10616749879400883,0.013,2000,0.9785,franka,0.9915
892969a88e71495d9e869f96c95f0abf,0.7745,2000,space_shuttle,0.0031200455232114027,0.3525,2000,0.422,franka,0.7745
1ea2dcb9f73c4141a936243b6616ae0e,0.0,2000,milk,1.2545341009406956,0.131,2000,-0.131,robotiq,0.131
7b1d00fa252a4756bce74aba70a8b82b,0.909,2000,baseball_cap,0.09016947557135586,0.184,2000,0.7250000000000001,franka,0.909
50d03f602bc34a398d7255e414dbf507,0.913,2000,wine_bottle,0.00432757215864181,0.2135,2000,0.6995,franka,0.913
768843209e734d569d1b527c1f3511a1,0.8695,2000,chair,0.11816606431901182,0.51,2000,0.35950000000000004,franka,0.8695
c69921857e864a9185ec6822876f0244,0.7815,2000,satchel,0.11483116955718349,0.3915,2000,0.38999999999999996,franka,0.7815
e93b720e48904e1eb354854e7501ca44,0.928,2000,monitor_(computer_equipment) computer_monitor,0.12010135367118076,0.144,2000,0.784,franka,0.928
39e6c82654e843dd819a3408374da0a8,0.418,2000,birthday_cake,0.0543019513102208,0.351,2000,0.067,franka,0.418
d44381eb4a8448ffbc239e1ef276ac45,0.7065,2000,armor,0.1002934328249794,0.6185,2000,0.08799999999999997,franka,0.7065
5d40fa1205df492d887b5d7ac04b72da,0.586,2000,turtle,0.002522052041498946,0.421,2000,0.16499999999999998,franka,0.586
04527c55da77419c8d23ef9720e52d4d,0.912,2000,grater,0.0003420806634678303,0.1765,2000,0.7355,franka,0.912
ee9bced1fcba48e299798eb22b63212e,0.549,2000,egg,1.254873839123597,0.865,2000,-0.31599999999999995,robotiq,0.865
117a24442f4e4550aa06c05f37cc6c4c,0.8205,2000,music_stool,0.08447818757704256,0.6165,2000,0.20399999999999996,franka,0.8205
cf3f14b48f7b4b218b1df2a19315f3f0,0.9025,2000,birdbath,0.10108047200366331,0.456,2000,0.44649999999999995,franka,0.9025
9a466e88e8b24809b1b24428aa9b8d81,0.807,2000,earring,6.398055013257888,0.586,2000,0.22100000000000009,franka,0.807
ae36ac6146a64aebbc3738b376179620,0.8725,2000,bottle_cap,0.00395907967363506,0.236,2000,0.6365000000000001,franka,0.8725
f89c972e822f4cdcab48e8008bdb6f17,0.0,97,wine_bucket,0.0027171836961196474,0.0005,2000,-0.0005,robotiq,0.0005
6c3b7f42886f47f1a59725bfac3640f2,0.8495,2000,air_conditioner,0.0006149175295165987,0.5975,2000,0.252,franka,0.8495
7f51463f66234d9aa56731d6dd3ad627,0.6345,2000,sail,0.00029721143000213717,0.508,2000,0.12649999999999995,franka,0.6345
835a3f294d034cbdaa8fed6e5f769068,0.9305,2000,headset,0.0002948196793718533,0.652,2000,0.27849999999999997,franka,0.9305
a800eb049d5f4ccaa85649d23ccd117f,0.5325,2000,armor,0.16665129570376053,0.467,2000,0.06549999999999995,franka,0.5325
b02036eb7bdd466b90970a73ee8cdc77,0.5185,2000,rag_doll,0.03619822028467246,0.433,2000,0.08549999999999996,franka,0.5185
be7c6a1ffa164952afabb8e0eeb0abce,0.8695,2000,sausage,0.8062014281857774,0.025,2000,0.8445,franka,0.8695
a648ae2bf2db40e7a88a7cb6526245d6,0.0,719,chili_(vegetable),0.00040570246221077874,0.7835,2000,-0.7835,robotiq,0.7835
adf60435b2fc4bcda6593c438adbec58,0.486,2000,fireplug,0.008650664927744982,0.6515,2000,-0.16549999999999998,robotiq,0.6515
825eccb3b41c4a23b8bc89a28fb95122,0.3005,2000,headlight,0.025249702159745833,0.391,2000,-0.09050000000000002,robotiq,0.391
c04e4fcece8d48ce903e2b44210dbe17,0.958,2000,computer_keyboard,0.013469805337833136,0.3515,2000,0.6065,franka,0.958
